"Index","DJI.Open","DJI.High","DJI.Low","DJI.Close","DJI.Volume","DJI.Adjusted"
"2008-03-20",12361.299805,12361.299805,12361.299805,12361.299805,0,12361.299805
"2008-03-24",12548.599609,12548.599609,12548.599609,12548.599609,0,12548.599609
"2008-03-25",12532.599609,12532.599609,12532.599609,12532.599609,0,12532.599609
"2008-03-26",12422.900391,12422.900391,12422.900391,12422.900391,0,12422.900391
"2008-03-27",12302.5,12302.5,12302.5,12302.5,0,12302.5
"2008-03-28",12216.400391,12216.400391,12216.400391,12216.400391,0,12216.400391
"2008-03-31",NA,NA,NA,NA,NA,NA
"2008-04-01",NA,NA,NA,NA,NA,NA
"2008-04-02",12605.799805,12605.799805,12605.799805,12605.799805,0,12605.799805
"2008-04-03",12626,12626,12626,12626,0,12626
"2008-04-04",12609.400391,12609.400391,12609.400391,12609.400391,0,12609.400391
"2008-04-07",NA,NA,NA,NA,NA,NA
"2008-04-08",12576.400391,12576.400391,12576.400391,12576.400391,0,12576.400391
"2008-04-09",12527.299805,12527.299805,12527.299805,12527.299805,0,12527.299805
"2008-04-10",12582,12582,12582,12582,0,12582
"2008-04-11",12325.400391,12325.400391,12325.400391,12325.400391,0,12325.400391
"2008-04-14",12302.099609,12302.099609,12302.099609,12302.099609,0,12302.099609
"2008-04-15",NA,NA,NA,NA,NA,NA
"2008-04-16",12619.299805,12619.299805,12619.299805,12619.299805,0,12619.299805
"2008-04-17",NA,NA,NA,NA,NA,NA
"2008-04-18",12849.400391,12849.400391,12849.400391,12849.400391,0,12849.400391
"2008-04-21",12825,12825,12825,12825,0,12825
"2008-04-22",12720.200195,12720.200195,12720.200195,12720.200195,0,12720.200195
"2008-04-23",12763.200195,12763.200195,12763.200195,12763.200195,0,12763.200195
"2008-04-24",12849,12849,12849,12849,0,12849
"2008-04-25",12891.900391,12891.900391,12891.900391,12891.900391,0,12891.900391
"2008-04-28",12871.799805,12871.799805,12871.799805,12871.799805,0,12871.799805
"2008-04-29",12831.900391,12831.900391,12831.900391,12831.900391,0,12831.900391
"2008-04-30",12820.099609,12820.099609,12820.099609,12820.099609,0,12820.099609
"2008-05-01",13010,13010,13010,13010,0,13010
"2008-05-02",13058.200195,13058.200195,13058.200195,13058.200195,0,13058.200195
"2008-05-05",12969.5,12969.5,12969.5,12969.5,0,12969.5
"2008-05-06",13020.799805,13020.799805,13020.799805,13020.799805,0,13020.799805
"2008-05-07",12814.299805,12814.299805,12814.299805,12814.299805,0,12814.299805
"2008-05-08",12866.799805,12866.799805,12866.799805,12866.799805,0,12866.799805
"2008-05-09",12745.900391,12745.900391,12745.900391,12745.900391,0,12745.900391
"2008-05-12",12876.299805,12876.299805,12876.299805,12876.299805,0,12876.299805
"2008-05-13",12832.200195,12832.200195,12832.200195,12832.200195,0,12832.200195
"2008-05-14",12898.400391,12898.400391,12898.400391,12898.400391,0,12898.400391
"2008-05-15",NA,NA,NA,NA,NA,NA
"2008-05-16",12986.799805,12986.799805,12986.799805,12986.799805,0,12986.799805
"2008-05-19",13028.200195,13028.200195,13028.200195,13028.200195,0,13028.200195
"2008-05-20",12828.700195,12828.700195,12828.700195,12828.700195,0,12828.700195
"2008-05-21",12601.200195,12601.200195,12601.200195,12601.200195,0,12601.200195
"2008-05-22",12625.599609,12625.599609,12625.599609,12625.599609,0,12625.599609
"2008-05-23",12479.599609,12479.599609,12479.599609,12479.599609,0,12479.599609
"2008-05-27",12548.299805,12548.299805,12548.299805,12548.299805,0,12548.299805
"2008-05-28",12594,12594,12594,12594,0,12594
"2008-05-29",12646.200195,12646.200195,12646.200195,12646.200195,0,12646.200195
"2008-05-30",NA,NA,NA,NA,NA,NA
"2008-06-02",12503.799805,12503.799805,12503.799805,12503.799805,0,12503.799805
"2008-06-03",12402.799805,12402.799805,12402.799805,12402.799805,0,12402.799805
"2008-06-04",12390.5,12390.5,12390.5,12390.5,0,12390.5
"2008-06-05",NA,NA,NA,NA,NA,NA
"2008-06-06",12209.799805,12209.799805,12209.799805,12209.799805,0,12209.799805
"2008-06-09",12280.299805,12280.299805,12280.299805,12280.299805,0,12280.299805
"2008-06-10",12289.799805,12289.799805,12289.799805,12289.799805,0,12289.799805
"2008-06-11",NA,NA,NA,NA,NA,NA
"2008-06-12",12141.599609,12141.599609,12141.599609,12141.599609,0,12141.599609
"2008-06-13",12307.299805,12307.299805,12307.299805,12307.299805,0,12307.299805
"2008-06-16",12269.099609,12269.099609,12269.099609,12269.099609,0,12269.099609
"2008-06-17",12160.299805,12160.299805,12160.299805,12160.299805,0,12160.299805
"2008-06-18",12029.099609,12029.099609,12029.099609,12029.099609,0,12029.099609
"2008-06-19",12063.099609,12063.099609,12063.099609,12063.099609,0,12063.099609
"2008-06-20",11842.700195,11842.700195,11842.700195,11842.700195,0,11842.700195
"2008-06-23",NA,NA,NA,NA,NA,NA
"2008-06-24",11807.400391,11807.400391,11807.400391,11807.400391,0,11807.400391
"2008-06-25",11811.799805,11811.799805,11811.799805,11811.799805,0,11811.799805
"2008-06-26",11453.400391,11453.400391,11453.400391,11453.400391,0,11453.400391
"2008-06-27",11346.5,11346.5,11346.5,11346.5,0,11346.5
"2008-06-30",11350,11350,11350,11350,0,11350
"2008-07-01",11382.299805,11382.299805,11382.299805,11382.299805,0,11382.299805
"2008-07-02",11215.5,11215.5,11215.5,11215.5,0,11215.5
"2008-07-03",11288.5,11288.5,11288.5,11288.5,0,11288.5
"2008-07-07",11232,11232,11232,11232,0,11232
"2008-07-08",NA,NA,NA,NA,NA,NA
"2008-07-09",11147.400391,11147.400391,11147.400391,11147.400391,0,11147.400391
"2008-07-10",11229,11229,11229,11229,0,11229
"2008-07-11",11100.5,11100.5,11100.5,11100.5,0,11100.5
"2008-07-14",11055.200195,11055.200195,11055.200195,11055.200195,0,11055.200195
"2008-07-15",10962.5,10962.5,10962.5,10962.5,0,10962.5
